functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
ens rr seat,rr seat cushion,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat cushion,completely fixing of rr seat cushion,partial fixing of rr seat cushion,"1.wrinkle and sagging
2.poor aesthetic ( uneven gap between seat and qtr pillar)",6,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,144.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,8.0,3.0,4.0,96.0,,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,,over tightened,"1. screw broken
2. primery function can lose",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
nut h bse m6x100 st8 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
usb multiple plug,fr usb,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
handle ext door rh,rr handle,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,part identification sheet and operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,154.0
handle ext door rh,rr handle,completely fix of inside hadle cable hook,partial fix of inside hadle cable hook,"1. functional failure
2.rattle noise",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,rr handle,completely fix of inside handle in rr door trim,partial fix of inside handle in rr door trim,"1.poor aesthitic
2.rattle noise",5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,grommet,completely fix of inside handle  grommet,partial fixing of inside handle  grommet,1.part falldown,5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,
handle ext door rh,fasteners,proper fix of inside handle fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
handle ext door rh,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
handle ext door rh,rr handle,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,part identification sheet and operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,154.0
handle ext door rh,rr handle,completely fix of inside hadle cable hook,partial fix of inside hadle cable hook,"1. functional failure
2.rattle noise",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,rr handle,completely fix of inside handle in rr door trim,partial fix of inside handle in rr door trim,"1.poor aesthitic
2.rattle noise",5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,grommet,completely fix of inside handle  grommet,partial fixing of inside handle  grommet,1.part falldown,5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,
handle ext door rh,fasteners,proper fix of inside handle fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
handle ext door rh,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
facia panel ens cluster finisher,cluster bottom ext,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
facia panel ens cluster finisher,cluster bottom ext,completely fixing of cluster bottom ext,partial fixing of cluster bottom extension,"1.part fall down
2.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
facia panel ens cluster finisher,fasteners,completely fixing of cluster bottom ext screw,loose fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
facia panel ens cluster finisher,fasteners,,over tightened,"1.screw broken
2.poor aesthitic",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
facia panel ens cluster finisher,cluster bezel,correct selection of part,wrong selection,"1,variant mismatch.",5,,yes,identification mark not available,select the right part,3.0,visual inspection,8.0,120.0,alc code need  to be provided,design team (kingsly; narendra) & vrs 2.1,,5.0,3.0,5.0,75.0,,,154.0
facia panel ens cluster finisher,cluster bezel,completely fixing of cluster bezel,partial fixing with cluster bezel,"1.part fall down
2.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
facia panel ens cluster finisher,cluster bottom ext,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
facia panel ens cluster finisher,cluster bottom ext,completely fixing of cluster bottom ext,partial fixing of cluster bottom extension,"1.part fall down
2.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
facia panel ens cluster finisher,fasteners,completely fixing of cluster bottom ext screw,loose fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
facia panel ens cluster finisher,fasteners,,over tightened,"1.screw broken
2.poor aesthitic",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
facia panel ens cluster finisher,cluster bezel,correct selection of part,wrong selection,"1,variant mismatch.",5,,yes,identification mark not available,select the right part,3.0,visual inspection,8.0,120.0,alc code need  to be provided,design team (kingsly; narendra) & vrs 2.1,,5.0,3.0,5.0,75.0,,,154.0
facia panel ens cluster finisher,cluster bezel,completely fixing of cluster bezel,partial fixing with cluster bezel,"1.part fall down
2.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
rh r/v mirror,mirror patch,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,select the right part,3.0,visual inspection,7.0,105.0,identification mark provided in part,design team (varun kumar; sandeep) & vrs1,,5.0,4.0,4.0,80.0,,,154.0
rh r/v mirror,mirror patch,completely routing and fixing of joystick cable,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,
rh r/v mirror,mirror patch,completely fixing of mirror patch,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,
rh r/v mirror,mirror patch,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,select the right part,3.0,visual inspection,7.0,105.0,identification mark provided in part,design team (varun kumar; sandeep) & vrs1,,5.0,4.0,4.0,80.0,,,154.0
rh r/v mirror,mirror patch,completely routing and fixing of joystick cable,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,
rh r/v mirror,mirror patch,completely fixing of mirror patch,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,
roof panel rh side airbag,side cover,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
roof panel rh side airbag,side cover,completely fixing of ip side cover,partial fixing ,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
roof panel lh side airbag,side cover,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
roof panel lh side airbag,side cover,completely fixing of ip side cover,partial fixing ,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lh b pillar lower trim ens,fr plr trim,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
lh b pillar lower trim ens,fr plr trim,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
steering column upr half-sheaft,strg col upr,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
steering column upr half-sheaft,strg col upr,completely fixing of strg col upr,partial fixing of strg col upr,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
3.part falldown",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
screw lcdx fwn m6x100 l15 st8 z8fbr fl,,,,,,,,,,,,,60.0,,,,,,,,,,
teroson pu 8521,,,,,,,,,,,,,60.0,,,,,,,,,,
sos switch,power socket,correct selection of part,wrong selection,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
sos switch,power socket,proper fix of power socket,improper fixing,"1. part damege-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
sos switch,power socket,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
sos switch,power socket,correct selection of part,wrong selection,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
sos switch,power socket,proper fix of power socket,improper fixing,"1. part damege-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
sos switch,power socket,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
screw ldcx fwn m6x100 l25 st8 z8fnr cy,,,,,,,,,,,,,60.0,,,,,,,,,,
screw ldcx fwn m6x100 l25 st8 z8fnr cy,,,,,,,,,,,,,60.0,,,,,,,,,,
panel trim door rr rh asm,rr door trim,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,154.0
panel trim door rr rh asm,rr door trim,completely fix of rr door trim,partial fix of rr door trim,"1,clip broken
2, poor aesthitic (more gap)
3, part falldown",5,,,operator not follow the work instruction (ensure to hear click sound),operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,
panel trim door rr rh asm,grommet,completely fix of rr door trim grommet,partial fix of rr door trim grommet,"1,part falldown",5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,
panel trim door rr rh asm,fasteners,proper fix of rr door trim fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
panel trim door rr rh asm,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and grommet broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
usb multiple plug,fr usb,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens rr seat,rr seat cushion,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat cushion,completely fixing of rr seat cushion,partial fixing of rr seat cushion,"1.wrinkle and sagging
2.poor aesthetic ( uneven gap between seat and qtr pillar)",6,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,144.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,8.0,3.0,4.0,96.0,,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,,over tightened,"1. screw broken
2. primery function can lose",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rr seat,rr seat cushion,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat cushion,completely fixing of rr seat cushion,partial fixing of rr seat cushion,"1.wrinkle and sagging
2.poor aesthetic ( uneven gap between seat and qtr pillar)",6,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,144.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,8.0,3.0,4.0,96.0,,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,,over tightened,"1. screw broken
2. primery function can lose",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
screw dcx m5x80 l18 st8 z08fnr cy,,,,,,,,,,,,,60.0,,,,,,,,,,
screw dcx m5x80 l18 st8 z08fnr cy,,,,,,,,,,,,,60.0,,,,,,,,,,
lock set,,,,,,,,,,,,,60.0,,,,,,,,,,
lock set,,,,,,,,,,,,,60.0,,,,,,,,,,
clear _ssbc clear,,,,,,,,,,,,,60.0,,,,,,,,,,
clear _ssbc clear,,,,,,,,,,,,,60.0,,,,,,,,,,
mettalic dark grey_gris artense,,,,,,,,,,,,,60.0,,,,,,,,,,
mettalic dark grey_gris artense,,,,,,,,,,,,,60.0,,,,,,,,,,
primer thinner 509,,,,,,,,,,,,,60.0,,,,,,,,,,
clear coat seasonal thinner,,,,,,,,,,,,,60.0,,,,,,,,,,
clear coat seasonal thinner,,,,,,,,,,,,,60.0,,,,,,,,,,
ens lh frt seat,fr seat,correct selection of part,wrong selection,"1,variant mismatch.",6,,yes,identification mark not available,select the right part,3.0,visual inspection,7.0,126.0,identification mark provided in part,design team (ramachandran; manoranjan) vrs1,,6.0,4.0,4.0,96.0,,,154.0
ens lh frt seat,fr seat,comletely fixing of fr seat,partial fixing of fr seat,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator not follow the work instruction (ensure to hear click sound),".operator training
",3.0,"1.visual inspection
",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
